Date,HolidayType,DaysAhead,DaysAfter,IsHolidayDay
20141001,7,0,6,1
20141002,7,1,5,0
20141003,7,2,4,0
20141004,7,3,3,0
20141005,7,4,2,0
20141006,7,5,1,0
20141007,7,6,0,0
20150218,2,0,6,0
20150219,2,1,5,1
20150220,2,2,4,0
20150221,2,3,3,0
20150222,2,4,2,0
20150223,2,5,1,0
20150224,2,6,0,0
20150404,3,0,2,0
20150405,3,1,1,1
20150406,3,2,0,0
20150501,4,0,2,1
20150502,4,1,1,0
20150503,4,2,0,0
20150620,5,0,2,1
20150621,5,1,1,0
20150622,5,2,0,0
20150926,6,0,1,1
20150927,6,1,0,0
20151001,7,0,6,1
20151002,7,1,5,0
20151003,7,2,4,0
20151004,7,3,3,0
20151005,7,4,2,0
20151006,7,5,1,0
20151007,7,6,0,0
20160101,1,0,2,1
20160102,1,1,1,0
20160103,1,2,0,0
20160207,2,0,6,0
20160208,2,1,5,1
20160209,2,2,4,0
20160210,2,3,3,0
20160211,2,4,2,0
20160212,2,5,1,0
20160213,2,6,0,0
20160402,3,0,2,0
20160403,3,1,1,0
20160404,3,2,0,1
20160430,4,0,2,0
20160501,4,1,1,1
20160502,4,2,0,0
20160609,5,0,2,1
20160610,5,1,1,0
20160611,5,2,0,0
20160915,6,0,2,1
20160916,6,1,1,0
20160917,6,2,0,0
20161001,7,0,6,1
20161002,7,1,5,0
20161003,7,2,4,0
20161004,7,3,3,0
20161005,7,4,2,0
20161006,7,5,1,0
20161007,7,6,0,0
20161231,1,0,2,0
20170101,1,1,1,1
20170102,1,2,0,0
20170127,2,0,6,0
20170128,2,1,5,1
20170129,2,2,4,0
20170130,2,3,3,0
20170131,2,4,2,0
20170201,2,5,1,0
20170202,2,6,0,0
20170402,3,0,2,0
20170403,3,1,1,0
20170404,3,2,0,1
20170429,4,0,2,0
20170430,4,1,1,0
20170501,4,2,0,1
20170528,5,0,2,0
20170529,5,1,1,0
20170530,5,2,0,1
20171001,7,0,7,1
20171002,7,1,6,0
20171003,7,2,5,0
20171004,7,3,4,0
20171005,7,4,3,0
20171006,7,5,2,0
20171007,7,6,1,0
20171008,7,7,0,0
20171001,6,0,7,0
20171002,6,1,6,0
20171003,6,2,5,0
20171004,6,3,4,1
20171005,6,4,3,0
20171006,6,5,2,0
20171007,6,6,1,0
20171008,6,7,0,0
20171230,1,0,2,0
20171231,1,1,1,0
20180101,1,2,0,1
20180215,2,0,6,0
20180216,2,1,5,1
20180217,2,2,4,0
20180218,2,3,3,0
20180219,2,4,2,0
20180220,2,5,1,0
20180221,2,6,0,0
20180405,3,0,2,1
20180406,3,1,1,0
20180407,3,2,0,0
20180429,4,0,2,0
20180430,4,1,1,0
20180501,4,2,0,1
20180616,5,0,2,0
20180617,5,1,1,0
20180618,5,2,0,1
20180922,6,0,2,0
20180923,6,1,1,0
20180924,6,2,0,1
20181001,7,0,6,1
20181002,7,1,5,0
20181003,7,2,4,0
20181004,7,3,3,0
20181005,7,4,2,0
20181006,7,5,1,0
20181007,7,6,0,0
20181230,1,0,2,0
20181231,1,1,1,0
20190101,1,2,0,1
20190204,2,0,6,0
20190205,2,1,5,1
20190206,2,2,4,0
20190207,2,3,3,0
20190208,2,4,2,0
20190209,2,5,1,0
20190210,2,6,0,0
20190405,3,0,2,1
20190406,3,1,1,0
20190407,3,2,0,0
20190501,4,0,3,1
20190502,4,1,2,0
20190503,4,2,1,0
20190504,4,3,0,0
20190607,5,0,2,1
20190608,5,1,1,0
20190609,5,2,0,0
20190913,6,0,2,1
20190914,6,1,1,0
20190915,6,2,0,0
20191001,7,0,6,1
20191002,7,1,5,0
20191003,7,2,4,0
20191004,7,3,3,0
20191005,7,4,2,0
20191006,7,5,1,0
20191007,7,6,0,0
20200101,1,0,0,1
20200124,2,0,9,0
20200125,2,1,8,1
20200126,2,2,7,0
20200127,2,3,6,0
20200128,2,4,5,0
20200129,2,5,4,0
20200130,2,6,3,0
20200131,2,7,2,0
20200201,2,8,1,0
20200202,2,9,0,0
20200404,3,0,2,1
20200405,3,1,1,0
20200406,3,2,0,0
20200501,4,0,4,1
20200502,4,1,3,0
20200503,4,2,2,0
20200504,4,3,1,0
20200505,4,4,0,0
20200625,5,0,2,1
20200626,5,1,1,0
20200627,5,2,0,0
20201001,6,0,7,1
20201002,6,1,6,0
20201003,6,2,5,0
20201004,6,3,4,0
20201005,6,4,3,0
20201006,6,5,2,0
20201007,6,6,1,0
20201008,6,7,0,0
20201001,7,0,7,1
20201002,7,1,6,0
20201003,7,2,5,0
20201004,7,3,4,0
20201005,7,4,3,0
20201006,7,5,2,0
20201007,7,6,1,0
20201008,7,7,0,0
20210101,1,0,2,1
20210102,1,1,1,0
20210103,1,2,0,0
20210211,2,0,6,0
20210212,2,1,5,1
20210213,2,2,4,0
20210214,2,3,3,0
20210215,2,4,2,0
20210216,2,5,1,0
20210217,2,6,0,0
20210403,3,0,2,0
20210404,3,1,1,1
20210405,3,2,0,0
20210501,4,0,4,1
20210502,4,1,3,0
20210503,4,2,2,0
20210504,4,3,1,0
20210505,4,4,0,0
20210612,5,0,2,0
20210613,5,1,1,0
20210614,5,2,0,1
20210919,6,0,2,0
20210920,6,1,1,0
20210921,6,2,0,1
20211001,7,0,6,1
20211002,7,1,5,0
20211003,7,2,4,0
20211004,7,3,3,0
20211005,7,4,2,0
20211006,7,5,1,0
20211007,7,6,0,0
20220101,1,0,2,1
20220102,1,1,1,0
20220103,1,2,0,0
20220131,2,0,6,0
20220201,2,1,5,1
20220202,2,2,4,0
20220203,2,3,3,0
20220204,2,4,2,0
20220205,2,5,1,0
20220206,2,6,0,0
20220403,3,0,2,0
20220404,3,1,1,0
20220405,3,2,0,1
20220430,4,0,4,0
20220501,4,1,3,1
20220502,4,2,2,0
20220503,4,3,1,0
20220504,4,4,0,0
20220603,5,0,2,1
20220604,5,1,1,0
20220605,5,2,0,0
20220910,6,0,2,1
20220911,6,1,1,0
20220912,6,2,0,0
20221001,7,0,6,1
20221002,7,1,5,0
20221003,7,2,4,0
20221004,7,3,3,0
20221005,7,4,2,0
20221006,7,5,1,0
20221007,7,6,0,0
20221231,1,0,2,0
20230101,1,1,1,1
20230102,1,2,0,0
20230121,2,0,6,0
20230122,2,1,5,1
20230123,2,2,4,0
20230124,2,3,3,0
20230125,2,4,2,0
20230126,2,5,1,0
20230127,2,6,0,0
20230405,3,0,0,1
20230429,4,0,4,0
20230430,4,1,3,0
20230501,4,2,2,1
20230502,4,3,1,0
20230503,4,4,0,0
20230622,5,0,2,1
20230623,5,1,1,0
20230624,5,2,0,0
20230929,6,0,7,1
20230930,6,1,6,0
20231001,6,2,5,0
20231002,6,3,4,0
20231003,6,4,3,0
20231004,6,5,2,0
20231005,6,6,1,0
20231006,6,7,0,0
20230929,7,0,7,0
20230930,7,1,6,0
20231001,7,2,5,1
20231002,7,3,4,0
20231003,7,4,3,0
20231004,7,5,2,0
20231005,7,6,1,0
20231006,7,7,0,0
